Billing Code,Category,Description,Charge $,Charge T,Charge P,Charge P1
C695,,,414.35,,,
C710,,,310.45,,,
C713,,,87.6,,,
C715,,,175.55,,,
C735,,,67.4,,,
C745,,,102.9,,,
C760,,,90.75,,,
C765,,,165.5,,,
C770,,,401.3,,,
C771,,,20.6,,,
C772,,,20.6,,,
C775,,,310.45,,,
C777,,,37.95,,,
C795,,,310.45,,,
C800,,,167.35,,,
C801,,,300.7,,,
C802,,,401.3,,,
C813,,,111.7,,,
C815,,,186.95,,,
C816,,,106.8,,,
C835,,,310.45,,,
C845,,,105.25,,,
C865,,,105.25,,,
C882,,,34.1,,,
C895,,,259.9,,,
C903,,,65.05,,,
C904,,,33.7,,,
C905,,,74.25,,,
C911,,,150.7,,,
C912,,,226.05,,,
C915,,,108.95,,,
C930,,,150,,,
C933,,,79.9,,,
C935,,,163.2,,,
C945,,,159.2,,,
C960,,,36.4,,,
C961,,,36.4,,,
C962,,,36.4,,,
C963,,,36.4,,,
C964,,,36.4,,,
C982,,,34.1,,,
C983B,,,85.6,,,
C985C,,,75,,,
C986,,,75,,,
C987,,,75,,,
C988B,,,76.4,,,
C989,,,76.4,,,
C990,,,20,,,
C991,,,20,,,
C992,,,40,,,
C993,,,40,,,
C994,,,60,,,
C995,,,60,,,
C996,,,100,,,
C997,,,100,,,
C998B,,,67.05,,,
C998C,,,60,,,
C999B,,,117.65,,,
C999C,,,100,,,
D001,,,57.5,,,
D003,,,196.5,,,
D004,,,57.5,,,
D006,,,181.85,,,
D007,,,128.05,,,
D008,,,241.3,,,
D009,,,84.45,,,
D010,,,252.45,,,
D011,,,193,,,
D012,,,39,,,
D014,,,67.8,,,
D015,,,49.2,,,
D016,,,111.4,,,
D017,,,323.85,,,
D023,,,231.1,,,
D025,,,134.55,,,
D026,,,147.6,,,
D027,,,57.5,,,
D028,,,388.2,,,
D029,,,151.25,,,
D030,,,57.5,,,
D031,,,97.35,,,
D032,,,163.35,,,
D033,,,147.6,,,
D034,,,298.55,,,
D035,,,111.35,,,
D036,,,252.45,,,
D038,,,207.9,,,
D039,,,309,,,
D040,,,62.2,,,
D041,,,290.55,,,
D042,,,268.25,,,
D043,,,406.45,,,
D046,,,967.9,,,
D047,,,1451.45,,,
D052,,,612.45,,,
D059,,,428.5,,,
D060,,,593,,,
D061,,,193,,,
D062,,,51.65,,,
D063,,,256.4,,,
E001C,,,0,,,
E002C,,,0,,,
E003,,,0,,,
E005B,,,0,,,
E005C,,,0,,,
E006A,,,0,,,
E006B,,,0,,,
E006C,,,0,,,
E007C,,,0,,,
E009C,,,0,,,
E010C,,,0,,,
E011C,,,0,,,
E012C,,,0,,,
E013C,,,0,,,
E014C,,,0,,,
E016C,,,0,,,
E017C,,,0,,,
E018C,,,0,,,
E019C,,,0,,,
E020C,,,0,,,
E021C,,,0,,,
E022C,,,0,,,
E023C,,,0,,,
E024C,,,0,,,
E025C,,,0,,,
E030C,,,0,,,
E031C,,,0,,,
E032C,,,0,,,
E041,,,81.55,,,
E048,,,108.75,,,
E049,,,87.2,,,
E050,,,77.05,,,
E051,,,245.9,,,
E052,,,259.85,,,
E053,,,94.6,,,
E054,,,236.1,,,
E055,,,94.6,,,
E056,,,91.9,,,
E057,,,0,,,
E058,,,0,,,
E059,,,0,,,
E060,,,0,,,
E069,,,134.75,,,
E077,,,10.25,,,
E078,,,0,,,
E079,,,15.55,,,
E080,,,25.25,,,
E082,,,0,,,
E083,,,0,,,
E084,,,0,,,
E088,,,0,,,
E090,,,260.8,,,
E098,,,0,,,
E100C,,,0,,,
E101B,,,0,,,
E102,,,542,,,
E103,,,542,,,
E104,,,542,,,
E105,,,424.35,,,
E106,,,640,,,
E107,,,496,,,
E108,,,131.25,,,
E109,,,677.5,,,
E117,,,308.3,,,
E118,,,308.3,,,
E119,,,542,,,
E121,,,740,,,
E122,,,590,,,
E123,,,161.75,,,
E124,,,740,,,
E125,,,750,,,
E126,,,1245,,,
E127,,,166.45,,,
E128,,,496,,,
E130,,,308.3,,,
E131,,,161.75,,,
E132,,,550,,,
E133,,,182.75,,,
E134,,,205.55,,,
E135,,,505.45,,,
E136,,,290,,,
E137,,,161.75,,,
E138,,,450,,,
E139,,,161.75,,,
E140,,,397.75,,,
E141,,,505.45,,,
E142,,,830,,,
E143,,,450,,,
E144,,,450,,,
E145,,,350,,,
E146,,,400,,,
E148,,,720,,,
E149,,,90,,,
E150,,,44,,,
E151,,,282.65,,,
E152,,,700,,,
E153,,,840,,,
E154,,,182.75,,,
E155,,,205,,,
E156,,,350,,,
E157,,,550,,,
E160,,,190.3,,,
E161,,,250,,,
E163,,,514.8,,,
E164,,,350,,,
E165,,,590,,,
E166,,,450,,,
E167,,,640,,,
E168,,,308.3,,,
E169,,,542,,,
E170,,,575.85,,,
E171,,,1005,,,
E172,,,200,,,
E173,,,594.7,,,
E174,,,667,,,
E175,,,20,,,
E176,,,325,,,
E177,,,321.6,,,
E178,,,222.65,,,
E179,,,296.9,,,
E180,,,411.2,,,
E181,,,640,,,
E182,,,600,,,
E183,,,600,,,
E184,,,543.65,,,
E185,,,525.15,,,
E186,,,90,,,
E187,,,90,,,
E190,,,150,,,
E191,,,161.75,,,
E192,,,313.15,,,
